id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
15,2,695.671780939965,1,0,2339,12.454,2.959,0.41,-0.672,0.86,0.091,0.049
15,3,954.5407640483667,1,1,2272,12.243,2.951,0.421,-0.592,0.86,0.092,0.048
15,4,1002.4736931277974,1,1,2193,12.189,2.958,0.433,-0.573,0.857,0.095,0.047
16,1,841.1250127692978,1,0,484,11.492,2.952,0.595,0.134,0.849,0.089,0.062
16,2,1039.8487663784285,1,0,498,11.426,2.97,0.582,0.134,0.853,0.084,0.062
16,3,1007.5222700711817,1,1,604,11.487,2.982,0.555,-0.019,0.856,0.084,0.06
16,4,1241.9313096847366,1,1,568,11.473,2.975,0.551,-0.046,0.856,0.086,0.058
17,1,937.7581716342236,1,0,1804,11.256,3.034,0.559,0.251,0.619,0.217,0.164
17,2,1302.2550727313635,1,0,1811,11.245,3.052,0.557,0.242,0.622,0.214,0.163
17,3,1397.0902106887877,1,1,1747,11.187,3.015,0.56,0.239,0.625,0.207,0.168
17,4,1501.256683439141,1,1,1743,11.175,3.024,0.555,0.19,0.618,0.213,0.169
18,1,833.5271382517707,0,0,777,11.897,2.976,0.452,-0.21,0.557,0.248,0.194
18,2,875.0726353947065,0,0,787,11.866,2.934,0.449,-0.19,0.55,0.257,0.193
18,3,1035.5810754926042,0,1,762,11.892,2.957,0.449,-0.216,0.547,0.257,0.196
18,4,1034.3093856343303,0,1,764,11.894,2.933,0.458,-0.273,0.555,0.263,0.182
19,1,791.0510367437982,0,0,677,10.962,2.931,0.591,0.276,0.573,0.281,0.146
19,2,970.2836295237845,0,0,653,10.904,2.943,0.587,0.253,0.565,0.286,0.149
19,3,1175.699547721216,0,1,672,11.081,3.001,0.567,0.129,0.558,0.292,0.15
19,4,1280.684895113286,0,1,684,11.002,3.039,0.56,0.077,0.561,0.291,0.148
20,1,951.5529141273446,0,0,455,11.613,3.035,0.516,-0.077,0.587,0.22,0.193
20,2,1026.9273230261085,0,0,467,11.65,3.041,0.54,-0.096,0.58,0.225,0.195
20,3,1103.3855057703972,0,1,444,11.672,3.002,0.541,-0.12,0.599,0.209,0.191
20,4,1056.0108389952431,0,1,469,11.557,2.97,0.535,-0.132,0.588,0.22,0.192
21,1,743.1615364188724,0,0,560,11.939,2.975,0.471,-0.349,0.53,0.279,0.191
21,2,780.8733936411104,0,0,552,11.976,2.957,0.475,-0.402,0.525,0.275,0.199
21,3,897.1479132018264,0,1,603,11.95,3.03,0.481,-0.375,0.507,0.282,0.211
21,4,970.8603140461706,0,1,609,11.952,3.064,0.494,-0.353,0.512,0.269,0.218
22,1,827.4012531184763,1,0,1059,11.287,2.984,0.549,0.135,0.702,0.262,0.037
22,2,1097.971020676675,1,0,1046,11.238,3.019,0.545,0.137,0.705,0.256,0.039
22,3,1181.7732161058832,1,1,1014,11.204,3.008,0.54,0.1,0.703,0.255,0.041
22,4,1289.605360129359,1,1,1051,11.191,2.983,0.547,0.066,0.697,0.258,0.045
23,1,897.9327169614302,0,0,1664,11.859,2.998,0.525,-0.083,0.502,0.248,0.25
23,2,1048.7869429225416,0,0,1645,11.864,2.982,0.522,-0.084,0.492,0.255,0.253
23,3,1246.3525425980583,0,1,1627,11.91,2.95,0.517,-0.132,0.503,0.248,0.248
23,4,1301.2418073654549,0,1,1511,11.829,2.941,0.521,-0.132,0.497,0.246,0.257
24,1,856.4684284836112,1,0,2282,11.517,2.972,0.54,0.079,0.824,0.094,0.082
24,2,1107.3535928273245,1,0,2262,11.541,2.969,0.531,0.037,0.829,0.094,0.077
24,3,1078.6740366307574,1,1,2509,11.512,2.947,0.531,0.014,0.832,0.093,0.075
24,4,1324.5985223788655,1,1,2384,11.496,2.97,0.523,0.003,0.836,0.09,0.075
25,1,718.4790332969804,0,0,332,12.02,3.009,0.398,-0.686,0.648,0.214,0.139
25,2,757.5448230466573,0,0,306,12.076,3.078,0.386,-0.686,0.663,0.219,0.118
25,3,738.7544478823809,0,1,286,12.025,3.045,0.402,-0.653,0.65,0.231,0.119
25,4,738.6677092873039,0,1,274,11.88,3.026,0.412,-0.652,0.65,0.23,0.12
26,1,1153.9764344930293,0,0,76,12.04,3.079,0.539,0.161,0.855,0.132,0.013
26,2,971.7344194485224,0,0,68,11.93,3.25,0.515,0.062,0.824,0.162,0.015
26,3,848.6022958226594,0,1,91,11.868,3.352,0.516,-0.148,0.857,0.132,0.011
26,4,1105.077416941948,0,1,89,11.963,3.292,0.539,-0.162,0.843,0.146,0.011
27,1,894.9014553470084,1,0,307,11.704,3.003,0.531,-0.162,0.792,0.134,0.075
27,2,1066.142323838959,1,0,298,11.514,3.047,0.547,-0.147,0.792,0.138,0.07
27,3,1061.7166208493686,1,1,321,11.392,3.065,0.548,-0.135,0.794,0.125,0.081
27,4,1337.8119840355403,1,1,312,11.329,3.115,0.526,-0.126,0.801,0.128,0.071
28,1,1065.6736425590261,1,0,841,10.828,3.069,0.644,0.493,0.598,0.263,0.139
28,2,1309.3897465016692,1,0,876,10.774,3.025,0.631,0.453,0.59,0.271,0.139
28,3,1642.4134430528534,1,1,891,11.038,3.001,0.615,0.366,0.597,0.265,0.138
28,4,1747.3974644638233,1,1,885,11.158,2.918,0.581,0.24,0.6,0.263,0.137
29,1,1073.2150249529907,1,0,659,10.924,2.986,0.602,0.407,0.762,0.14,0.099
29,2,1260.7345917202113,1,0,640,10.924,2.986,0.6,0.362,0.755,0.144,0.102
29,3,1414.4549875186663,1,1,640,11.152,2.966,0.581,0.232,0.745,0.159,0.095
29,4,1620.4022812708627,1,1,657,11.209,2.995,0.565,0.143,0.758,0.158,0.084
30,1,883.5255976152464,0,0,274,11.161,3.069,0.562,0.126,0.657,0.226,0.117
30,2,1056.5566625973456,0,0,274,11.138,3.04,0.555,0.117,0.653,0.219,0.128
30,3,1251.396301495673,0,1,259,11.24,3.066,0.544,0.112,0.653,0.216,0.131
30,4,1372.9652591060633,0,1,253,11.522,3.071,0.557,0.081,0.64,0.225,0.134
31,1,970.1522534621952,0,0,217,11.708,3.032,0.567,0.234,0.618,0.23,0.152
31,2,1090.3628561988137,0,0,212,11.922,3.08,0.566,0.186,0.613,0.231,0.156
31,3,1162.471184496909,0,1,208,12.052,3.053,0.543,0.17,0.596,0.24,0.163
31,4,1315.0574524495946,0,1,218,11.893,3.041,0.509,0.096,0.578,0.248,0.174
32,1,959.4582534697366,1,0,1663,11.319,2.995,0.575,0.181,0.731,0.111,0.158
32,2,1201.4787458970827,1,0,1625,11.399,3.003,0.562,0.17,0.732,0.114,0.154
32,3,1248.168530542684,1,1,1643,11.392,2.973,0.547,0.117,0.735,0.11,0.155
32,4,1542.7721324558433,1,1,1598,11.436,2.976,0.543,0.097,0.738,0.109,0.153
33,1,941.3358816231886,0,0,443,11.831,3.099,0.481,-0.023,0.637,0.248,0.115
33,2,1053.5126403395475,0,0,451,11.848,3.071,0.488,-0.014,0.645,0.246,0.109
33,3,1030.8679420454055,0,1,523,11.715,2.962,0.468,-0.079,0.652,0.237,0.111
33,4,1103.1871854137414,0,1,510,11.831,2.922,0.467,-0.111,0.649,0.235,0.116
34,1,753.4607533379515,1,0,160,11.244,2.962,0.506,-0.088,0.787,0.144,0.069
34,2,1050.9115681986002,1,0,151,11.369,2.993,0.51,-0.112,0.781,0.146,0.073
34,3,1480.8461079562107,1,1,177,11.268,2.87,0.475,-0.17,0.78,0.147,0.073
34,4,1543.4433386698588,1,1,178,11.409,2.848,0.483,-0.18,0.77,0.169,0.062
35,1,900.3810135640159,1,0,267,10.884,3.109,0.562,0.137,0.708,0.199,0.094
35,2,1228.3989489455844,1,0,278,10.823,3.058,0.558,0.154,0.709,0.198,0.094
35,3,1028.0783923006552,1,1,272,10.681,3.085,0.555,0.076,0.702,0.202,0.096
35,4,1080.2342143651267,1,1,283,10.684,3.014,0.548,0.075,0.714,0.198,0.088
36,1,854.0230333606941,1,0,393,11.498,3.036,0.529,-0.076,0.794,0.135,0.071
36,2,851.4196978455617,1,0,391,11.525,3.056,0.512,-0.077,0.816,0.115,0.069
36,3,1267.6534526519229,1,1,373,11.647,3.035,0.512,-0.059,0.807,0.118,0.075
36,4,1462.53252529529,1,1,376,11.509,3.011,0.527,-0.044,0.798,0.12,0.082
37,1,650.6111119120311,0,0,141,11.25,3.021,0.496,-0.263,0.695,0.255,0.05
37,2,835.3287058354318,0,0,149,11.107,3.034,0.497,-0.232,0.705,0.248,0.047
37,3,902.2194720675898,0,1,142,11.112,3.035,0.479,-0.189,0.697,0.254,0.049
37,4,1035.0610838048992,0,1,160,11.253,3.025,0.469,-0.272,0.681,0.262,0.056
38,1,889.9781562043166,1,0,982,11.232,2.918,0.58,0.205,0.801,0.101,0.098
38,2,1031.6975516895695,1,0,977,11.215,2.916,0.569,0.172,0.797,0.105,0.097
38,3,1148.9876431170856,1,1,1021,11.267,2.937,0.558,0.133,0.803,0.105,0.092
38,4,1287.6991565880128,1,1,1050,11.369,2.927,0.543,0.048,0.794,0.109,0.097
39,1,857.3710524849799,1,0,3724,11.797,2.997,0.51,-0.189,0.793,0.113,0.094
39,2,978.4621861491487,1,0,3503,11.786,2.995,0.512,-0.178,0.795,0.111,0.094
39,3,1117.3828809638453,1,1,3341,11.785,3.01,0.511,-0.179,0.797,0.111,0.092
39,4,1173.4769819003395,1,1,3191,11.762,2.995,0.512,-0.19,0.797,0.11,0.092
40,1,938.0863908695878,0,0,444,11.35,3.232,0.525,0.003,0.673,0.248,0.079
40,2,1077.5904031991927,0,0,415,11.371,3.193,0.523,0.008,0.672,0.246,0.082
40,3,1391.830748825214,0,1,400,11.514,3.18,0.53,0.002,0.672,0.242,0.085
40,4,1563.6058457969048,0,1,396,11.61,3.189,0.535,0.038,0.677,0.235,0.088
41,1,877.558201365024,0,0,1370,11.459,2.974,0.531,0.116,0.594,0.319,0.087
41,2,1047.8573496025824,0,0,1369,11.475,2.936,0.527,0.074,0.59,0.321,0.088
41,3,1232.9895341216416,0,1,1491,11.325,2.938,0.549,0.123,0.583,0.327,0.09
41,4,1302.1305995608452,0,1,1451,11.296,2.929,0.544,0.101,0.584,0.326,0.09
42,1,906.8937667210691,1,0,324,10.915,3.04,0.583,0.176,0.596,0.176,0.228
42,2,891.2023234945524,1,0,319,10.976,3.085,0.589,0.183,0.602,0.172,0.226
42,3,1214.4074293746087,1,1,304,10.921,3.036,0.572,0.17,0.592,0.181,0.227
42,4,1421.4352166438225,1,1,313,10.974,3.048,0.569,0.116,0.623,0.166,0.211
43,1,1030.3352678819806,0,0,631,11.577,2.919,0.578,0.278,0.626,0.244,0.13
43,2,1166.14768587734,0,0,611,11.593,2.903,0.565,0.227,0.625,0.241,0.134
43,3,1175.8452681489978,0,1,604,11.659,2.874,0.56,0.165,0.637,0.238,0.124
43,4,1196.6624926907407,0,1,590,11.743,2.885,0.558,0.12,0.632,0.251,0.117
44,1,961.3661557225196,1,0,306,11.572,2.935,0.52,-0.057,0.637,0.288,0.075
44,2,1123.8284237457679,1,0,299,11.572,2.97,0.528,-0.054,0.625,0.298,0.077
44,3,976.2601419559618,1,1,292,11.536,3.01,0.524,-0.11,0.651,0.288,0.062
44,4,1098.3079953198192,1,1,316,11.588,2.987,0.506,-0.207,0.652,0.282,0.066
45,1,655.4411767637446,0,0,266,12.142,2.842,0.376,-0.616,0.774,0.147,0.079
45,2,763.6831568015774,0,0,286,12.355,2.909,0.392,-0.718,0.79,0.143,0.066
45,3,907.670459814596,0,1,282,12.367,2.901,0.394,-0.666,0.784,0.152,0.064
45,4,913.3458580627504,0,1,270,12.441,2.922,0.393,-0.661,0.759,0.174,0.067
46,1,716.5862634512202,0,0,1016,11.746,3.008,0.481,-0.215,0.575,0.358,0.067
46,2,844.9312243619614,0,0,1024,11.782,2.983,0.479,-0.211,0.57,0.361,0.068
46,3,934.3619597015846,0,1,999,11.711,3.012,0.48,-0.214,0.571,0.358,0.071
46,4,1197.0384093128787,0,1,951,11.681,3.018,0.481,-0.224,0.581,0.345,0.074
47,1,744.6647875229895,1,0,1372,11.924,2.92,0.45,-0.23,0.757,0.172,0.071
47,2,869.7535462521341,1,0,1371,11.812,2.926,0.453,-0.208,0.757,0.171,0.071
47,3,1021.5034623241016,1,1,1308,11.707,2.92,0.462,-0.203,0.753,0.176,0.071
47,4,1150.7533519801214,1,1,1275,11.681,2.928,0.472,-0.231,0.754,0.172,0.075
48,1,930.2004033744035,1,0,412,11.138,2.978,0.658,0.631,0.585,0.33,0.085
48,2,1218.217944588771,1,0,433,11.314,3.005,0.619,0.458,0.582,0.316,0.102
48,3,1542.8615373396963,1,1,433,11.283,2.986,0.619,0.384,0.575,0.326,0.099
48,4,1550.9755921839537,1,1,434,11.273,2.959,0.618,0.328,0.578,0.325,0.097
49,1,897.5397180643238,1,0,403,10.979,2.873,0.581,0.347,0.677,0.228,0.094
49,2,1086.0669329588952,1,0,385,10.961,2.904,0.569,0.325,0.668,0.236,0.096
49,3,1440.452497492724,1,1,407,11.039,2.929,0.563,0.283,0.668,0.246,0.086
49,4,1752.5483379659358,1,1,387,10.974,2.902,0.558,0.233,0.674,0.238,0.088
50,1,954.678240984906,0,0,983,10.939,2.994,0.576,0.288,0.595,0.285,0.12
50,2,1148.3093293664363,0,0,996,10.902,2.972,0.572,0.225,0.59,0.285,0.124
50,3,1405.546363174504,0,1,1014,10.991,2.998,0.567,0.158,0.585,0.285,0.13
50,4,1312.033372230261,0,1,1021,11.209,2.969,0.54,0.024,0.595,0.284,0.121
51,1,1212.0940828884932,0,0,274,11.61,3.044,0.588,0.34,0.741,0.23,0.029
51,2,1176.3195855559488,0,0,274,11.638,3.018,0.595,0.32,0.745,0.219,0.036
51,3,1170.0333279490055,0,1,268,11.533,3.026,0.597,0.282,0.75,0.22,0.03
51,4,1545.2500956394251,0,1,265,11.374,3.023,0.596,0.201,0.725,0.242,0.034
52,1,1102.682435479787,1,0,112,11.525,3.143,0.58,0.154,0.714,0.188,0.098
52,2,1259.293186268596,1,0,105,11.361,3.114,0.61,0.138,0.714,0.219,0.067
52,3,1310.520474305568,1,1,114,11.259,3.035,0.57,0.053,0.728,0.202,0.07
52,4,1559.280736343496,1,1,113,11.736,3.018,0.566,-0.069,0.726,0.195,0.08
53,1,846.5187015326035,1,0,661,11.669,3.142,0.526,-0.043,0.511,0.363,0.126
53,2,1002.580186542332,1,0,681,11.685,3.116,0.526,-0.053,0.502,0.364,0.134
53,3,1021.319835147655,1,1,665,11.551,3.057,0.54,-0.079,0.505,0.364,0.131
53,4,1181.869937954468,1,1,653,11.601,3.069,0.538,-0.108,0.516,0.358,0.126
54,1,829.7423092178216,0,0,249,11.885,3.032,0.466,-0.398,0.683,0.229,0.088
54,2,980.6495312571877,0,0,293,11.497,3.044,0.481,-0.284,0.7,0.218,0.082
54,3,1017.6208278838017,0,1,282,11.687,2.954,0.475,-0.327,0.706,0.206,0.089
54,4,1170.8433072872424,0,1,272,11.56,2.949,0.482,-0.29,0.669,0.239,0.092
55,1,798.0625941742047,0,0,311,10.938,3.093,0.65,0.479,0.688,0.228,0.084
55,2,1139.260240601343,0,0,313,10.942,3.169,0.626,0.428,0.681,0.22,0.099
55,3,1486.3992114775892,0,1,307,10.921,3.179,0.616,0.373,0.681,0.221,0.098
55,4,1502.1931916174515,0,1,281,10.868,3.189,0.601,0.342,0.676,0.221,0.103
56,1,915.8232745045,0,0,774,11.424,2.93,0.497,-0.068,0.735,0.165,0.099
56,2,1050.9433951699732,0,0,762,11.401,2.957,0.508,-0.084,0.747,0.154,0.1
56,3,1110.2198476526164,0,1,724,11.237,2.974,0.504,-0.07,0.746,0.159,0.095
56,4,1123.2671742669636,0,1,726,11.235,2.985,0.526,-0.07,0.738,0.163,0.099
57,1,830.8055413208441,0,0,843,11.468,3.004,0.546,0.071,0.737,0.165,0.098
57,2,934.7714061014661,0,0,842,11.301,2.999,0.552,0.105,0.734,0.165,0.101
57,3,1205.625418132031,0,1,817,11.313,2.995,0.55,0.086,0.734,0.16,0.105
57,4,1258.024408083488,0,1,905,11.394,3.021,0.564,0.041,0.745,0.158,0.097
58,1,967.3330668015736,0,0,188,11.083,3,0.548,0.094,0.835,0.128,0.037
58,2,1129.440135279408,0,0,187,11.135,2.979,0.545,0,0.829,0.134,0.037
58,3,1562.5532106706041,0,1,178,11.155,3.028,0.545,0.032,0.837,0.129,0.034
58,4,1338.8794633582502,0,1,180,11.073,2.983,0.556,-0.025,0.85,0.122,0.028
59,1,778.3392708426369,1,0,76,12.095,2.763,0.421,-0.156,0.75,0.118,0.132
59,2,1039.184045897365,1,0,85,12.142,2.776,0.376,-0.205,0.753,0.141,0.106
59,3,1085.3407259989679,1,1,81,11.797,2.704,0.42,-0.085,0.753,0.16,0.086
59,4,1325.1451236438336,1,1,79,11.634,2.595,0.443,-0.063,0.759,0.152,0.089
60,1,890.2176484483987,1,0,1460,11.402,3.023,0.541,0.149,0.778,0.179,0.043
60,2,1127.6926529231741,1,0,1462,11.416,2.997,0.544,0.119,0.769,0.184,0.047
60,3,1359.1441098256184,1,1,1373,11.398,2.969,0.536,0.102,0.768,0.185,0.047
60,4,1471.836196116202,1,1,1326,11.49,3.009,0.524,0.057,0.765,0.187,0.048
61,1,880.9090108885327,0,0,588,10.878,3.007,0.573,0.325,0.488,0.345,0.167
61,2,1228.1468460110889,0,0,568,10.829,2.977,0.558,0.291,0.488,0.354,0.158
61,3,1275.9288871804417,0,1,528,10.86,2.922,0.561,0.278,0.477,0.36,0.163
61,4,1415.2887783667131,0,1,532,11.005,2.893,0.545,0.199,0.466,0.37,0.164
62,1,795.5795411093065,0,0,1099,11.148,2.872,0.552,0.167,0.861,0.078,0.061
62,2,957.5182488040562,0,0,1091,11.165,2.876,0.555,0.152,0.863,0.077,0.06
62,3,1029.580431302755,0,1,1055,11.28,2.864,0.532,0.118,0.86,0.078,0.063
62,4,1100.0700762474862,0,1,1068,11.373,2.86,0.522,0.052,0.86,0.079,0.062
63,1,732.4575198437876,0,0,891,12.218,3.016,0.458,-0.43,0.753,0.172,0.075
63,2,748.1806819210628,0,0,844,12.164,3.025,0.468,-0.398,0.748,0.175,0.077
63,3,877.0358741546011,0,1,836,12.116,3.02,0.474,-0.383,0.746,0.172,0.081
63,4,934.594915793934,0,1,844,12.06,3.038,0.48,-0.38,0.746,0.172,0.082
64,1,1016.5676392875223,0,0,204,11.4,3.123,0.534,0.078,0.51,0.343,0.147
64,2,911.4487505592325,0,0,217,11.388,3.134,0.525,0.024,0.507,0.341,0.152
64,3,1167.8652205881797,0,1,251,11.607,3.127,0.502,0.017,0.522,0.339,0.139
64,4,1334.086853452791,0,1,243,11.669,3.132,0.506,0.014,0.551,0.329,0.119
65,1,617.3543731862834,1,0,142,11.307,2.655,0.549,0.094,0.838,0.056,0.106
65,2,1003.0043513616604,1,0,152,11.453,2.704,0.533,0.021,0.816,0.053,0.132
65,3,1317.4139692668166,1,1,159,11.253,2.667,0.541,-0.025,0.805,0.069,0.126
65,4,1261.7414414286707,1,1,172,11.611,2.738,0.541,-0.198,0.82,0.07,0.11
66,1,1012.8596500340602,1,0,918,10.501,3.04,0.679,0.621,0.758,0.143,0.099
66,2,1264.837835294082,1,0,909,10.687,3.03,0.655,0.554,0.758,0.146,0.096
66,3,1515.6903900097416,1,1,866,10.784,3.052,0.645,0.516,0.745,0.156,0.099
66,4,1843.5846989976508,1,1,817,10.742,3.031,0.629,0.477,0.75,0.157,0.093
67,1,624.2164637202478,1,0,299,10.983,2.953,0.609,0.448,0.863,0.104,0.033
67,2,1110.3723804574652,1,0,310,11.138,2.971,0.59,0.335,0.852,0.113,0.035
67,3,1328.1699269633257,1,1,292,11.081,3.01,0.586,0.268,0.846,0.116,0.038
67,4,1249.653618084195,1,1,331,11.184,2.973,0.523,0.064,0.849,0.109,0.042
68,1,786.0197250739435,0,0,538,11.514,3.097,0.53,-0.039,0.686,0.156,0.158
68,2,948.5251349785611,0,0,516,11.471,3.05,0.525,-0.021,0.682,0.155,0.163
68,3,1101.5431020930773,0,1,509,11.565,3.045,0.521,-0.048,0.684,0.153,0.163
68,4,1188.5239389968174,0,1,531,11.602,3.032,0.514,-0.104,0.693,0.153,0.154
69,1,1027.3375201611511,0,0,232,11.381,2.935,0.608,0.126,0.858,0.103,0.039
69,2,1196.9546533497837,0,0,225,11.422,2.907,0.604,0.147,0.867,0.098,0.036
69,3,1077.666420122091,0,1,232,11.53,2.97,0.595,0.077,0.866,0.099,0.034
69,4,1129.1739596383911,0,1,234,11.398,2.944,0.56,0.004,0.859,0.103,0.038
70,1,782.3854312376893,0,0,843,12.013,2.932,0.497,-0.08,0.679,0.266,0.056
70,2,920.0167859420583,0,0,802,11.917,2.899,0.496,-0.066,0.672,0.273,0.055
70,3,1020.183527515519,0,1,795,11.848,2.938,0.497,-0.105,0.678,0.268,0.054
70,4,1202.2357601313236,0,1,782,11.722,2.917,0.499,-0.107,0.689,0.265,0.046
71,1,722.7208481146248,1,0,123,11.265,2.764,0.61,0.224,0.626,0.163,0.211
71,2,1189.8747039677162,1,0,123,11.16,2.707,0.593,0.172,0.634,0.154,0.211
71,3,780.8031007290052,1,1,130,11.412,2.708,0.562,0.058,0.638,0.154,0.208
71,4,775.0387271101799,1,1,172,11.687,2.907,0.517,-0.074,0.587,0.198,0.215
72,1,863.8798505718755,1,0,1058,11.752,2.899,0.572,0.116,0.663,0.24,0.097
72,2,1134.8629368431082,1,0,1030,11.8,2.904,0.567,0.09,0.666,0.238,0.096
72,3,1237.7060115994168,1,1,1038,11.806,2.908,0.565,0.072,0.659,0.245,0.096
72,4,1516.0554210156881,1,1,1063,11.709,2.941,0.563,0.042,0.654,0.25,0.096
73,1,1044.4890488723966,1,0,89,11.106,2.978,0.584,0.208,0.764,0.191,0.045
73,2,1141.835022725556,1,0,102,11.828,3.078,0.549,0.09,0.765,0.186,0.049
73,3,1359.0437729550729,1,1,108,11.636,3.019,0.556,0.157,0.741,0.213,0.046
73,4,1256.8005592412244,1,1,112,11.785,2.884,0.5,0.037,0.714,0.241,0.045
74,1,808.3441664168861,0,0,645,11.515,3.082,0.527,0.129,0.611,0.231,0.158
74,2,984.061840529251,0,0,644,11.49,3.118,0.528,0.101,0.602,0.241,0.157
